structure_id,caps,anchor,track_prep,data_node,anchor_emit,split_source,isolate_drain,control_groups,transistors,kappa,vth_residual,source_sensitivity,decision
S3-03c81052d0,G-X,R,True,G,True,True,False,6,7,,,,control_groups_gt_5
S3-084a9d264b,G-X,R,True,G,True,True,True,7,8,,,,control_groups_gt_5
S3-c0ec8ded95,G-X,R,True,S,False,False,False,5,6,,,,DATA_and_VINIT_short_in_WRITE
S3-00c755a3ca,G-X,R,True,S,False,False,True,5,7,,,,DATA_and_VINIT_short_in_WRITE
S3-560bfb5a59,G-X,R,True,S,False,True,False,6,7,,,,control_groups_gt_5
S3-b8cb70e444,G-X,R,True,S,False,True,True,7,8,,,,control_groups_gt_5
S3-aa719955d3,G-X,R,True,S,True,False,False,5,6,,,,DATA_and_VINIT_short_in_WRITE
S3-44be1aec99,G-X,R,True,S,True,False,True,5,7,,,,DATA_and_VINIT_short_in_WRITE
S3-2279723015,G-X,R,True,S,True,True,False,6,7,,,,control_groups_gt_5
S3-9c4e851466,G-X,R,True,S,True,True,True,7,8,,,,control_groups_gt_5
S3-99729eb7c9,G-X,R,True,X,False,False,False,5,6,1.0000000000000002,-1.0000000000000018,-1.0,no_intrinsic_DATA_compression
S3-621ca5ad27,G-X,R,True,X,False,False,True,5,7,1.0000000000000002,-1.0000000000000018,-1.0,no_intrinsic_DATA_compression
S3-497451a4a4,G-X,R,True,X,False,True,False,6,7,,,,control_groups_gt_5
S3-3052a35743,G-X,R,True,X,False,True,True,7,8,,,,control_groups_gt_5
S3-72727a8d6c,G-X,R,True,X,True,False,False,5,6,-1.1102230246251565e-15,-1.0000000000000018,-1.0,no_intrinsic_DATA_compression
S3-9cc52bf81b,G-X,R,True,X,True,False,True,5,7,-1.1102230246251565e-15,-1.0000000000000018,-1.0,no_intrinsic_DATA_compression
S3-d3d7118fb3,G-X,R,True,X,True,True,False,6,7,,,,control_groups_gt_5
S3-70fd15ef3a,G-X,R,True,X,True,True,True,7,8,,,,control_groups_gt_5
S3-39aa200de1,G-X,S,False,G,False,False,False,4,6,1.0,-1.0,-1.0,no_intrinsic_DATA_compression
S3-a7020b5dc1,G-X,S,False,G,False,False,True,4,7,1.0,-1.0,-1.0,no_intrinsic_DATA_compression
S3-c35a561616,G-X,S,False,G,False,True,False,5,7,1.0,-1.0,-1.0,no_intrinsic_DATA_compression
S3-7e3de81ef2,G-X,S,False,G,False,True,True,6,8,,,,control_groups_gt_5
S3-3eacd59911,G-X,S,False,G,True,False,False,5,6,-2.220446049250313e-16,4.440892098500626e-16,4.440892098500626e-16,no_intrinsic_DATA_compression
S3-1f6d1948c2,G-X,S,False,G,True,False,True,5,7,-2.220446049250313e-16,4.440892098500626e-16,4.440892098500626e-16,no_intrinsic_DATA_compression
